District	education	emergency	employment	energy	familyAndRelationships	health	irrelevant	ovc	socialPolicy	ureport	violenceAgainstChildren	water
Abim	0	8	0	1	4	2	6	12	9	22	9	24	0
Adjumani	0	4	0	1	15	3	2	9	0	27	13	19	0
Agago	0	5	0	0	12	5	1	12	4	23	13	15	0
Alebtong	0	3	0	1	5	2	0	4	6	19	6	6	0
Amolatar	0	2	0	2	8	2	1	8	2	19	9	17	0
Amudat	0	0	0	0	2	0	1	0	1	5	1	7	0
Amuria	2	5	0	2	13	5	11	19	7	46	12	30	0
Amuru	0	7	0	1	25	3	3	20	9	53	13	26	0
Apac	1	10	0	2	16	7	6	28	11	41	23	37	0
Arua	5	54	0	9	116	23	29	143	73	202	103	156	0
Budaka	2	4	0	1	14	2	0	9	5	18	13	12	0
Bududa	0	4	0	2	22	0	1	11	8	28	18	16	0
Bugiri	0	12	0	0	14	5	2	20	7	37	14	23	0
Buhweju	0	1	0	0	2	1	0	3	1	2	0	9	0
Buikwe	1	7	0	5	15	5	4	22	5	42	8	26	0
Bukedea	0	7	0	2	12	2	1	16	10	34	18	26	0
Bukomansimbi	0	0	0	0	5	1	0	8	4	11	7	4	0
Bukwo	0	0	0	0	0	0	2	3	4	5	2	3	0
Bulambuli	1	4	0	1	13	5	4	10	7	21	12	13	0
Bundibugyo	2	11	0	1	20	3	4	13	6	34	11	21	0
Bushenyi	0	9	0	3	25	9	8	30	9	30	18	26	0
Busia	2	14	0	4	36	6	12	34	11	72	29	56	0
Butaleja	0	5	0	0	9	2	2	10	3	20	10	13	0
Butambala	0	0	0	0	7	0	0	4	1	4	6	7	0
Buvuma	0	1	0	0	1	1	1	1	0	5	1	2	0
Buyende	1	2	0	1	5	1	1	3	3	7	5	7	0
Dokolo	0	7	0	1	22	3	2	16	2	50	7	27	0
Gomba	2	1	0	1	14	2	0	11	5	25	4	19	0
Gulu	3	43	0	9	83	20	19	119	30	210	62	129	0
Hoima	0	12	0	0	17	4	9	15	7	25	14	21	0
Ibanda	1	1	0	4	14	3	1	7	5	34	15	17	0
Iganga	0	8	0	3	25	5	8	28	8	39	18	30	0
